year,manufacturer,make,make/model,thefts,production,rate,type,horsepower,reliability,price
2004,HYUNDAI,HYUNDAI,sonata,158,101774,1.55,Car,162,84,2500
2010,NISSAN,NISSAN,pathfinder,16,10308,1.55,MPV,265,80,10500
2004,MERCEDES-BENZ,MERCEDES-BENZ,208 (clk-class),31,20013,1.55,Car,349,76,8500
2008,TOYOTA,TOYOTA,matrix,37,23891,1.55,Car,126,90,10000
2005,HONDA,HONDA,accord,576,371940,1.55,Car,166,88,5000
2005,FORD MOTOR CO,FORD,EXPLORER SPORT TRAC,83,53640,1.55,Truck,210,84,8000
2007,AUDI,AUDI,A6 QUATTRO/S6/S6 AVANT,18,11660,1.54,Car,350,92,12000
2008,MAZDA,MAZDA,3,199,129061,1.54,Car,156,85,5000
2009,HYUNDAI,HYUNDAI,accent,92,59709,1.54,Car,110,88,5000
2012,MASERATI,MASERATI,granturismo,3,1953,1.54,Car,405,60,50000
2004,GENERAL MOTORS,BUICK,CENTURY,84,54706,1.54,Car,175,86,3000
2007,FORD MOTOR CO,FORD,FIVE HUNDRED,94,61270,1.53,Car,203,78,5000
2011,TOYOTA,TOYOTA,yaris,38,0,1.53,Car,106,79,10000
2007,TOYOTA,TOYOTA,avalon,121,79137,1.53,Car,268,85,8500
2008,GENERAL MOTORS,PONTIAC,VIBE,31,20317,1.53,Car,126,80,8000
2012,GENERAL MOTORS,CHEVROLET,CORVETTE,17,11144,1.53,Car,430,78,49000
2010,GENERAL MOTORS,CADILLAC,CTS,61,40045,1.52,Car,270,80,8000
2006,MERCEDES-BENZ,MERCEDES-BENZ,220 (s-class),22,14472,1.52,Car,268,82,18000
2009,NISSAN,NISSAN,versa,159,104658,1.52,Car,107,80,6000
2005,HONDA,ACURA,3.2 TL,125,82497,1.52,Car,258,73,5000
2009,MAZDA,MAZDA,b series pickup,1,660,1.52,Truck,156,80,15000
2004,GENERAL MOTORS,CADILLAC,DEVILLE,111,73274,1.51,Car,275,79,3000
2010,NISSAN,NISSAN,altima,340,224551,1.51,Car,175,85,9000
2008,TOYOTA,TOYOTA,CAMRY SOLARA,390,257638,1.51,Car,210,83,9000
2012,JAGUAR LAND ROVER,JAGUAR,XK/XKR,2,1323,1.51,Car,385,75,40000
2013,FORD MOTOR CO,LINCOLN,MKS,26,17203,1.51,Car,305,80,18000
2004,FORD MOTOR CO,FORD,THUNDERBIRD,19,12577,1.51,Car,280,78,13000
2004,TOYOTA,TOYOTA,matrix,91,60311,1.51,Car,126,85,4000
2013,GENERAL MOTORS,BUICK,LACROSSE,82,54416,1.51,Car,303,83,15000
2009,CHRYSLER,DODGE,JOURNEY,124,82331,1.51,MPV,235,73,8500
2014,BENTLEY MOTORS,BENTLEY MOTORS,FLYING SPUR,2,1329,1.5,Car,500,80,80000
2006,GENERAL MOTORS,PONTIAC,VIBE,77,51168,1.5,Car,126,85,4500
2005,GENERAL MOTORS,CHEVROLET,COLORADO,206,136994,1.5,Truck,175,85,7000
2004,VOLVO,VOLVO,S 40,34,22616,1.5,Car,170,75,3000
2005,BMW,BMW,3,88,58554,1.5,Car,215,75,8000
2012,NISSAN,INFINITI,G25/G37,85,56585,1.5,Car,0,0,0
2014,FORD MOTOR CO,FORD,FIESTA,113,75291,1.5,Car,123,82,12000
2006,FORD MOTOR CO,MERCURY,MOUNTAINEER,46,30676,1.5,MPV,210,80,5000
2008,FORD MOTOR CO,MERCURY,GRAND MARQUIS,66,44071,1.5,Car,224,83,25000
2013,GENERAL MOTORS,CHEVROLET,SONIC,141,94250,1.5,Car,138,77,7000
2010,GENERAL MOTORS,PONTIAC,VIBE,21,14075,1.49,Car,132,82,9000
2006,NISSAN,NISSAN,frontier pickup,112,75112,1.49,Truck,210,80,8000
2009,KIA,KIA,rio,61,41036,1.49,Car,110,80,5000
2009,MERCEDES-BENZ,MERCEDES-BENZ,c-class,86,57872,1.49,Car,228,80,12000
2008,NISSAN,NISSAN,frontier pickup,70,47215,1.48,Truck,210,76,8000
2005,BMW,BMW,5,42,28346,1.48,Car,222,80,8000
2007,NISSAN,NISSAN,murano,137,92516,1.48,MPV,240,80,8000
2005,FORD MOTOR CO,MERCURY,MOUNTAINEER,48,32416,1.48,MPV,210,70,5000
2011,CHRYSLER,CHRYSLER,300,42,0,1.48,Car,292,80,12000
2008,HYUNDAI,HYUNDAI,accent,76,51562,1.47,Car,110,75,5000
2004,GENERAL MOTORS,CHEVROLET,TRAILBLAZER,308,209348,1.47,MPV,275,80,5000
2009,GENERAL MOTORS,CHEVROLET,CORVETTE,23,15647,1.47,Car,430,85,30000
2010,FORD MOTOR CO,MERCURY,GRAND MARQUIS,41,27956,1.47,Car,224,80,20000
2012,KIA,KIA,forte,106,72284,1.47,Car,156,88,9000
2007,TOYOTA,TOYOTA,highlander,148,100956,1.47,MPV,215,83,8000
2004,HONDA,HONDA,s2000,11,7511,1.46,Car,237,79,18000
2005,GENERAL MOTORS,SATURN,ION,104,71021,1.46,Car,170,75,5000
2007,TOYOTA,TOYOTA,CAMRY SOLARA,1003,685729,1.46,Car,210,86,8000
2012,VOLVO,VOLVO,C 70,7,4787,1.46,Car,227,78,13000
2008,HYUNDAI,HYUNDAI,elantra,160,109498,1.46,Car,125,85,5000
2005,DAIMLERCHRYSLER,CHRYSLER,CROSSFIRE,36,24679,1.46,Car,215,80,7000
2007,NISSAN,INFINITI,G35,83,57041,1.46,Car,306,80,9000
2005,GENERAL MOTORS,GMC,ENVOY,102,70105,1.45,MPV,275,82,5000
2004,DAIMLERCHRYSLER,DODGE,VIPER,3,2065,1.45,Car,500,80,50000
2009,NISSAN,NISSAN,370z,16,11024,1.45,Car,332,75,23000
2009,NISSAN,NISSAN,xterra,19,13106,1.45,MPV,261,83,8000
2014,AUDI,AUDI,A8,7,4830,1.45,Car,240,75,25000
2007,GENERAL MOTORS,CHEVROLET,UPLANDER VAN,87,60061,1.45,MPV,239,68,5400
2014,VOLKSWAGEN,VOLKSWAGEN,golf,10,6914,1.45,Car,170,70,12000
2014,HYUNDAI,HYUNDAI,elantra,218,151185,1.44,Car,173,76,11000
2004,DAIMLERCHRYSLER,JEEP,WRANGLER,132,91631,1.44,MPV,190,80,12000
2005,KIA,KIA,sportage,35,24351,1.44,MPV,140,78,5000
2009,JAGUAR LAND ROVER,JAGUAR,xkr,1,696,1.44,Car,420,80,35000
2004,LAMBORGHINI,LAMBORGHINI,gallardo,1,697,1.43,Car,520,75,80000
2014,GENERAL MOTORS,CHEVROLET,SPARK,73,50921,1.43,Car,84,65,14000
2007,GENERAL MOTORS,CADILLAC,STS,24,16746,1.43,Car,320,75,6000
2006,TOYOTA,SCION,XB,125,87219,1.43,Car,103,80,5000
2005,GENERAL MOTORS,GMC,CANYON PICKUP,56,39149,1.43,Truck,220,85,8000
2005,FORD MOTOR CO,LINCOLN,TOWN CAR,67,46853,1.43,Car,239,78,20000
2007,GENERAL MOTORS,CADILLAC,XLR,2,1400,1.43,Car,320,72,28000
2007,HONDA,HONDA,s2000,7,4907,1.43,Car,237,88,22000
2008,KIA,KIA,sportage,58,40669,1.43,MPV,140,82,6500
2012,TOYOTA,TOYOTA,corolla,304,197973,1.43,Car,132,87,9000
2004,TOYOTA,TOYOTA,CAMRY SOLARA,532,373268,1.43,Car,210,85,5000
2008,TOYOTA,LEXUS,SC,4,2807,1.43,Car,288,95,18000
2013,HYUNDAI,HYUNDAI,genesis,70,49177,1.42,Car,333,88,15000
2014,FORD MOTOR CO,FORD,FUSION,446,313391,1.42,Car,231,81,12000
2009,FORD MOTOR CO,MERCURY,GRAND MARQUIS,30,21102,1.42,Car,224,90,25000
2008,GENERAL MOTORS,PONTIAC,SOLSTICE,20,14080,1.42,Car,177,74,23000
2014,GENERAL MOTORS,CADILLAC,XTS,43,30282,1.42,Car,304,80,25000
2014,AUDI,AUDI,A7,10,7046,1.42,Car,310,75,29000
2010,SUZUKI,SUZUKI,sx4,19,13405,1.42,Car,125,80,8000
2014,VOLKSWAGEN,VOLKSWAGEN,jetta,259,182896,1.42,Car,170,74,12000
2013,FORD MOTOR CO,FORD,FOCUS,332,234537,1.42,Car,160,75,8000
2004,TOYOTA,LEXUS,SC,14,9905,1.41,Car,288,85,12000
2006,GENERAL MOTORS,BUICK,ALLURE,107,76029,1.41,Car,230,80,5000
2005,NISSAN,NISSAN,murano,102,72482,1.41,MPV,245,75,7000
2011,FORD MOTOR CO,FORD,crown victoria,27,0,1.4,Car,239,82,12000
2011,JAGUAR LAND ROVER,JAGUAR,xj,4,0,1.4,Car,385,80,34000
2006,JAGUAR,JAGUAR,xkr,1,713,1.4,Car,390,70,15000
2014,TOYOTA,SCION,tC,29,20680,1.4,Car,179,85,14000
2008,GENERAL MOTORS,SATURN,AURA,85,60715,1.4,Car,224,82,5000
2008,AUDI,AUDI,A6,22,15726,1.4,Car,255,81,8000
2010,KIA,KIA,forte,137,98010,1.4,Car,156,85,8000
2006,TOYOTA,TOYOTA,tundra pickup,36,25764,1.4,Truck,271,87,10000
2013,MERCEDES-BENZ,MERCEDES-BENZ,e-class,70,50159,1.4,Car,302,85,30000
2006,GENERAL MOTORS,GMC,ENVOY,68,48745,1.4,MPV,291,85,35000
2008,HYUNDAI,HYUNDAI,santa fe,107,76765,1.39,MPV,185,77,6000
2013,GENERAL MOTORS,CHEVROLET,CORVETTE,18,12917,1.39,Car,430,75,45000
2004,MAZDA,MAZDA,mx-5 miata,12,8620,1.39,Car,146,82,10000
2014,TOYOTA,TOYOTA,corolla,466,335224,1.39,Car,132,87,12000
2011,FORD MOTOR CO,MERCURY,MARINER,12,0,1.39,MPV,240,80,13000
2012,MAZDA,MAZDA,cx-7,11,7945,1.38,MPV,0,0,0
2011,FORD MOTOR CO,FORD,FOCUS,127,0,1.38,Car,140,75,8000
2009,GENERAL MOTORS,PONTIAC,TORRENT,13,9403,1.38,MPV,264,78,19000
2007,KIA,KIA,amanti,6,4343,1.38,Car,264,79,4000
2006,VOLVO,VOLVO,S 60,30,21734,1.38,Car,208,86,5000
2014,GENERAL MOTORS,CHEVROLET,CRUZE,476,345204,1.38,Car,0,0,0
2010,GENERAL MOTORS,SATURN,VUE,4,2904,1.38,MPV,170,82,12000
2008,CHRYSLER,JEEP,COMPASS,36,26147,1.38,MPV,158,72,4500
2007,MERCEDES-BENZ,MERCEDES-BENZ,208 (clk-class),19,13825,1.37,Car,268,80,15000
2004,GENERAL MOTORS,GMC,ENVOY,114,83013,1.37,MPV,275,75,6000
2014,MITSUBISHI,MITSUBISHI,mirage,29,21149,1.37,Car,74,78,10000
2004,MAZDA,MAZDA,3,104,75915,1.37,Car,160,88,3000
2006,GENERAL MOTORS,CHEVROLET,EQUINOX,170,124123,1.37,MPV,185,80,5500
2012,CHRYSLER,DODGE,CALIBER,15,10953,1.37,Car,0,0,0
2006,JAGUAR,JAGUAR,xk8,2,1463,1.37,Car,300,70,15000
2013,VOLKSWAGEN,VOLKSWAGEN,passat,176,128931,1.37,Car,170,85,15000
2008,GENERAL MOTORS,CADILLAC,XLR,2,1468,1.36,Car,320,82,24000
2005,TOYOTA,TOYOTA,matrix,99,72719,1.36,Car,126,80,5000
2007,NISSAN,NISSAN,frontier pickup,87,64010,1.36,Truck,210,78,10000
2011,MERCEDES-BENZ,MERCEDES-BENZ,cls-class,2,0,1.36,Car,301,80,25000
2008,MAZDA,MAZDA,cx-7,45,33134,1.36,MPV,244,74,5400
2004,JAGUAR,JAGUAR,xj8,15,11048,1.36,Car,294,75,8000
2012,JAGUAR LAND ROVER,JAGUAR,xj,7,5158,1.36,Car,340,80,25000
2007,GENERAL MOTORS,CHEVROLET,COLORADO PICKUP,95,70012,1.36,Truck,242,80,8000
2011,HONDA,ACURA,ZDX,1,737,1.36,MPV,300,80,20000
2004,GENERAL MOTORS,GMC,SAFARI VAN,6,4428,1.36,MPV,190,78,8000
2009,CHRYSLER,JEEP,COMPASS,14,10346,1.35,MPV,172,65,8000
2007,GENERAL MOTORS,GMC,CANYON PICKUP,25,18483,1.35,Truck,242,75,8000
2005,HYUNDAI,HYUNDAI,santa fe,100,73979,1.35,MPV,185,80,4500
2004,VOLVO,VOLVO,V 40,4,2963,1.35,Car,170,85,4000
2010,TOYOTA,TOYOTA,4runner,18,13345,1.35,MPV,260,90,18000
2006,VOLKSWAGEN,VOLKSWAGEN,passat,85,63019,1.35,Car,0,0,0
2006,NISSAN,NISSAN,murano,105,77852,1.35,MPV,0,0,0
2004,HONDA,HONDA,civic,390,289347,1.35,Car,115,82,4000
2014,FORD MOTOR CO,LINCOLN,MKS,15,11132,1.35,Car,305,74,25000
2006,NISSAN,NISSAN,pathfinder,100,74219,1.35,MPV,270,80,8500
2009,NISSAN,NISSAN,frontier pickup,31,23030,1.35,Truck,261,78,8500
2005,HYUNDAI,HYUNDAI,xg300,27,20099,1.34,Car,170,70,3000
2004,GENERAL MOTORS,CHEVROLET,ASTRO VAN,28,20892,1.34,MPV,190,78,5000
2007,BMW,BMW,7,22,16421,1.34,Car,360,75,23000
2004,JAGUAR,JAGUAR,s-type,10,7469,1.34,Car,0,0,0
2014,CHRYSLER,DODGE,JOURNEY,122,91151,1.34,MPV,283,80,15500
2004,GENERAL MOTORS,CHEVROLET,AVEO,92,68741,1.34,Car,103,74,5000
2012,KIA,KIA,rio,34,25441,1.34,Car,138,82,10000
2008,NISSAN,INFINITI,G37,39,29182,1.34,Car,330,86,9000
2007,TOYOTA,TOYOTA,fj cruiser,112,83830,1.34,MPV,239,85,13500
2010,NISSAN,NISSAN,maxima,89,66639,1.34,Car,290,75,8000
2011,NISSAN,INFINITI,G25/G37,72,0,1.34,Car,0,0,0
2013,FORD MOTOR CO,FORD,FUSION,342,256170,1.34,Car,231,70,8000
2009,VOLVO,VOLVO,S 40,9,6743,1.33,Car,168,81,7000
2007,MAZDA,MAZDA,3,153,114723,1.33,Car,0,0,0
2006,BMW,BMW,5,62,46563,1.33,Car,215,85,8000
2005,GENERAL MOTORS,PONTIAC,VIBE,95,71357,1.33,Car,130,83,6000
2009,AUDI,AUDI,A3,5,3761,1.33,Car,0,0,0
2004,KIA,KIA,sorento,63,47404,1.33,MPV,192,80,5000
2005,GENERAL MOTORS,CADILLAC,DEVILLE,76,57246,1.33,Car,275,75,6000
2010,NISSAN,NISSAN,xterra,31,23420,1.32,MPV,261,81,12000
2005,VOLKSWAGEN,VOLKSWAGEN,jetta,116,87710,1.32,Car,150,70,5000
2008,FORD MOTOR CO,FORD,EDGE,170,128607,1.32,MPV,265,82,4000
2007,NISSAN,NISSAN,versa,107,80962,1.32,Car,122,85,5000
2008,VOLKSWAGEN,VOLKSWAGEN,golf/rabbit/gti,47,35696,1.32,Car,0,0,0
2004,GENERAL MOTORS,CHEVROLET,MALIBU,127,96605,1.31,Car,170,75,2500
2006,FORD MOTOR CO,FORD,RANGER PICKUP,110,83737,1.31,Truck,207,72,5800
2004,FORD MOTOR CO,FORD,EXPLORER SPORT TRAC,79,60166,1.31,Truck,210,75,6000
2005,AUDI,AUDI,A8,7,5336,1.31,Car,335,73,8000
2006,MAZDA,MAZDA,3,125,95420,1.31,Car,160,81,6000
2009,MERCEDES-BENZ,MERCEDES-BENZ,cls-class,5,3827,1.31,Car,215,75,15000
2011,MAZDA,MAZDA,rx-8,1,768,1.3,Car,232,78,15000
2005,VOLKSWAGEN,VOLKSWAGEN,phaeton,1,768,1.3,Car,335,65,10000
2007,SUBARU,SUBARU,impreza,51,39198,1.3,Car,230,85,10000
2005,MAZDA,MAZDA,tribute,68,52267,1.3,MPV,0,0,0
2005,JAGUAR,JAGUAR,VANDEN PLAS SUPER V8,4,3075,1.3,Car,385,70,19000
2006,NISSAN,NISSAN,xterra,78,59988,1.3,MPV,0,0,0
2004,NISSAN,NISSAN,frontier pickup,100,77079,1.3,Truck,210,80,8000
2012,FORD MOTOR CO,FORD,FOCUS,413,318556,1.3,Car,160,80,8000
2009,FORD MOTOR CO,FORD,EDGE,58,44744,1.3,MPV,265,82,6000
2004,GENERAL MOTORS,BUICK,PARK AVENUE,22,16985,1.3,Car,205,80,5000
2009,GENERAL MOTORS,BUICK,ALLURE,24,18532,1.3,Car,215,78,10000
2011,MASERATI,MASERATI,granturismo,2,0,1.29,Car,440,72,50000
2006,MAZDA,MAZDA,mpv van,13,10054,1.29,MPV,154,84,5000
2014,NISSAN,NISSAN,sentra,273,211339,1.29,Car,130,84,11000
2006,FORD MOTOR CO,MERCURY,GRAND MARQUIS,64,49578,1.29,Car,224,82,5000
2010,MAZDA,MAZDA,5,26,20150,1.29,MPV,153,72,8000
2007,AUDI,AUDI,A4 QUATTRO/S4/S4 AVANT,64,49645,1.29,Car,252,93,10000
2010,TOYOTA,TOYOTA,corolla,615,478294,1.29,Car,132,82,8000
2004,SUZUKI,SUZUKI,vitara/grand vitara,44,34227,1.29,MPV,130,70,6000
2007,NISSAN,NISSAN,quest van,47,36661,1.28,MPV,230,82,5000
2010,HYUNDAI,HYUNDAI,elantra,194,151343,1.28,Car,128,79,5000
2012,SUZUKI,SUZUKI,sx4,20,15617,1.28,Car,150,80,10000
2005,FORD MOTOR CO,FORD,crown victoria,24,18754,1.28,Car,224,88,5000
2007,HONDA,ACURA,TSX,29,22669,1.28,Car,205,90,7000
2009,TOYOTA,TOYOTA,yaris,93,72826,1.28,Car,106,90,12000
2006,VOLKSWAGEN,VOLKSWAGEN,golf/rabbit/gti,24,18806,1.28,Car,0,0,0
2006,MITSUBISHI,MITSUBISHI,outlander,13,10190,1.28,MPV,220,85,5000
2006,FORD MOTOR CO,FORD,ESCAPE,194,152125,1.28,MPV,153,80,4000
2012,AUDI,AUDI,A7,15,11768,1.27,Car,310,75,25000
2007,KIA,KIA,sportage,58,45512,1.27,MPV,0,0,0
2008,GENERAL MOTORS,CHEVROLET,UPLANDER VAN,93,73084,1.27,MPV,240,79,4000
2004,DAIMLERCHRYSLER,CHRYSLER,CROSSFIRE,22,17345,1.27,Car,215,75,6000
2005,FORD MOTOR CO,FORD,FREESTAR VAN,92,72690,1.27,MPV,203,75,4000
2010,PORSCHE,PORSCHE,panamera,7,5531,1.27,Car,400,83,25000
2011,MAZDA,MAZDA,3,123,0,1.26,Car,155,83,10000
2004,AUDI,AUDI,a4/a4 Quattro/s4/s4 Avant,59,46660,1.26,Car,0,0,0
2004,GENERAL MOTORS,BUICK,REGAL,24,18983,1.26,Car,210,75,4000
2008,GENERAL MOTORS,BUICK,ALLURE,53,41961,1.26,Car,240,80,15000
2013,VOLKSWAGEN,VOLKSWAGEN,jetta,222,176130,1.26,Car,170,72,10000
2013,TOYOTA,TOYOTA,camry,353,280399,1.26,Car,178,87,13000
2008,FORD MOTOR CO,MERCURY,MILAN,41,32608,1.26,Car,160,84,5000
2004,FORD MOTOR CO,FORD,ESCAPE,133,106309,1.25,MPV,0,0,0
2010,NISSAN,NISSAN,sentra,116,92736,1.25,Car,140,85,8000
2008,FORD MOTOR CO,MERCURY,SABLE,33,26392,1.25,Car,224,81,4000
2008,MERCEDES-BENZ,MERCEDES-BENZ,s-class,33,26436,1.25,Car,382,72,15000
2013,GENERAL MOTORS,CADILLAC,ATS,49,39386,1.24,Car,270,80,15000
2010,SUBARU,SUBARU,b9 tribeca,3,2412,1.24,MPV,256,80,12000
2006,TOYOTA,TOYOTA,matrix,70,56291,1.24,Car,126,87,5000
2007,TOYOTA,TOYOTA,tacoma pickup,206,165714,1.24,Truck,236,84,12000
2014,NISSAN,NISSAN,frontier pickup,78,62847,1.24,Truck,261,85,18000
2004,MERCEDES-BENZ,MERCEDES-BENZ,203 (c-class),64,51630,1.24,Car,189,82,5000
2013,HYUNDAI,HYUNDAI,sonata,388,313346,1.24,Car,198,83,10000
2005,GENERAL MOTORS,CHEVROLET,ASTRO VAN,29,23439,1.24,MPV,190,80,8500
2012,KIA,KIA,optima,132,106747,1.24,Car,200,80,10000
2009,GENERAL MOTORS,GMC,ENVOY,7,5661,1.24,MPV,300,80,10000
2011,BENTLEY MOTORS,BENTLEY MOTORS,CONTINENTAL,1,809,1.24,Car,567,80,60000
2005,DAIMLERCHRYSLER,CHRYSLER,PACIFICA,146,118329,1.23,MPV,250,85,6000
2013,NISSAN,NISSAN,370z,8,6485,1.23,Car,332,79,29000
2006,GENERAL MOTORS,CHEVROLET,COLORADO PICKUP,129,104675,1.23,Truck,220,80,8000
2014,KIA,KIA,sorento,138,112099,1.23,MPV,290,85,15000
2013,GENERAL MOTORS,CADILLAC,CTS,41,33340,1.23,Car,270,80,15000
2012,BMW,BMW,5,53,43103,1.23,Car,300,80,22000
2011,MERCEDES-BENZ,MERCEDES-BENZ,c-class,74,0,1.23,Car,302,79,15000
2009,MASERATI,MASERATI,quattroporte,1,817,1.22,Car,400,80,30000
2014,CHRYSLER,JEEP,COMPASS,109,89264,1.22,MPV,172,79,10000
2004,TOYOTA,SCION,XA,18,14753,1.22,Car,108,78,6000
2004,NISSAN,INFINITI,QX56,15,12296,1.22,MPV,315,75,6000
2014,BMW,BMW,m6,3,2466,1.22,Car,560,70,60000
2008,TOYOTA,TOYOTA,yaris,147,120841,1.22,Car,106,87,5000
2010,FORD MOTOR CO,FORD,FUSION,341,280461,1.22,Car,240,90,8000
2004,JAGUAR,JAGUAR,x-type,30,24693,1.21,Car,227,64,4000
2007,FORD MOTOR CO,FORD,RANGER PICKUP,94,77539,1.21,Truck,207,78,8000
2013,HONDA,HONDA,pilot,53,43762,1.21,MPV,250,90,15000
2010,FORD MOTOR CO,MERCURY,MILAN,47,38824,1.21,Car,240,80,10000
2007,TOYOTA,TOYOTA,4runner,132,109124,1.21,MPV,236,85,10000
2005,GENERAL MOTORS,PONTIAC,BONNEVILLE,26,21519,1.21,Car,250,85,6000
2009,KIA,KIA,optima,43,35610,1.21,Car,161,78,6000
2014,FORD MOTOR CO,LINCOLN,MKZ,39,32303,1.21,Car,188,79,15000
2013,CHRYSLER,JEEP,PATRIOT,43,35620,1.21,MPV,172,80,9500
2005,GENERAL MOTORS,CADILLAC,CTS,74,61323,1.21,Car,255,80,6000
2007,MERCEDES-BENZ,MERCEDES-BENZ,170 (slk-class),9,7459,1.21,Car,224,85,15000
2011,SUZUKI,SUZUKI,sx4,16,0,1.2,Car,0,0,0
2013,TOYOTA,SCION,tC,24,19927,1.2,Car,180,70,12000
2012,FORD MOTOR CO,FORD,FUSION,371,308520,1.2,Car,175,80,8000
2005,BMW,BMW,7,9,7495,1.2,Car,325,78,9000
2008,SUZUKI,SUZUKI,sx4,51,42522,1.2,Car,0,0,0
2009,NISSAN,NISSAN,gt-r,3,2505,1.2,Car,0,0,0
2005,DAIMLERCHRYSLER,DODGE,CARAVAN/GRAND CARAVAN,440,367439,1.2,MPV,215,75,5000
2011,KIA,KIA,sedona van,20,0,1.2,MPV,271,75,8000
2004,VOLVO,VOLVO,S 60,50,41804,1.2,Car,208,75,3500
2004,ISUZU,ISUZU,axiom,4,3347,1.2,MPV,230,80,5000
2014,NISSAN,INFINITI,QX60,47,39331,1.2,MPV,265,70,22000
2009,GENERAL MOTORS,SATURN,VUE,47,39342,1.19,MPV,257,70,12000
2013,MERCEDES-BENZ,MERCEDES-BENZ,sl-class,12,10053,1.19,Car,429,72,49000
2008,AUDI,AUDI,S4/S5,3,2514,1.19,Car,340,78,20000
2008,TOYOTA,SCION,XD,39,32737,1.19,Car,128,80,8000
2011,HYUNDAI,HYUNDAI,elantra,119,0,1.19,Car,148,79,8000
2012,CHRYSLER,JEEP,LIBERTY,124,104184,1.19,MPV,210,85,12000
2011,NISSAN,NISSAN,cube,17,0,1.19,Car,122,82,10000
2004,HONDA,HONDA,accord,448,376680,1.19,Car,166,89,4000
2006,HONDA,HONDA,accord,391,328780,1.19,Car,166,80,3500
2005,TOYOTA,TOYOTA,4runner,127,106810,1.19,MPV,245,85,8000
2007,GENERAL MOTORS,SATURN,AURA,77,64851,1.19,Car,252,78,5000
2014,SUBARU,SUBARU,tribeca,1,843,1.19,MPV,256,88,12000
2004,NISSAN,INFINITI,M45,2,1687,1.19,Car,280,80,6000
2014,KIA,KIA,soul,153,129110,1.19,Car,164,85,11000
2014,CHRYSLER,JEEP,PATRIOT,155,130916,1.18,MPV,172,73,12000
2005,DAIMLERCHRYSLER,DODGE,VIPER,2,1692,1.18,Car,500,80,60000
2013,MITSUBISHI,MITSUBISHI,outlander,35,29764,1.18,MPV,227,77,12000
2008,JAGUAR LAND ROVER,JAGUAR,xj8/xj8l,3,2556,1.17,Car,300,75,10000
2004,VOLKSWAGEN,VOLKSWAGEN,jetta,109,92979,1.17,Car,150,70,5000
2007,GENERAL MOTORS,PONTIAC,TORRENT,35,29918,1.17,MPV,195,68,6000
2007,HONDA,HONDA,civic,389,332639,1.17,Car,140,85,5000
2010,TOYOTA,TOYOTA,yaris,74,63285,1.17,Car,106,76,8000
2009,TOYOTA,LEXUS,LS,11,9418,1.17,Car,380,90,15000
2010,MAZDA,MAZDA,6,53,45410,1.17,Car,0,0,0
2004,GENERAL MOTORS,CHEVROLET,COLORADO,109,93411,1.17,Truck,220,80,9000
2007,GENERAL MOTORS,CADILLAC,FUNERAL COACH HEARSE,1,857,1.17,Car,275,70,35000
2004,FORD MOTOR CO,MERCURY,GRAND MARQUIS,104,89130,1.17,Car,224,83,5000
2004,GENERAL MOTORS,SATURN,ION,141,121109,1.16,Car,170,80,2500
2008,KIA,KIA,sedona van,37,31800,1.16,MPV,244,83,7000
2010,NISSAN,INFINITI,G37,49,42113,1.16,Car,330,80,12000
2004,MAZDA,MAZDA,mpv van,26,22346,1.16,MPV,0,0,0
2008,GENERAL MOTORS,GMC,ENVOY,36,30956,1.16,MPV,291,72,8300
2011,HYUNDAI,HYUNDAI,sonata,350,0,1.16,Car,198,76,8000
2004,VOLVO,VOLVO,S 80,23,19802,1.16,Car,208,80,5000
2007,MITSUBISHI,MITSUBISHI,outlander,37,31873,1.16,MPV,220,78,5000
2013,SUZUKI,SUZUKI,sx4,8,6897,1.16,Car,125,80,12000
2008,GENERAL MOTORS,CADILLAC,CTS,73,62943,1.16,Car,304,78,7000
2010,TOYOTA,SCION,XB,24,20718,1.16,Car,158,85,12000
2005,HYUNDAI,HYUNDAI,tucson,71,61346,1.16,MPV,140,75,4500
2004,GENERAL MOTORS,PONTIAC,montana van,35,30277,1.16,MPV,0,0,0
2011,HONDA,HONDA,civic,158,0,1.16,Car,140,86,12000
2012,SUZUKI,SUZUKI,grand vitara,8,6923,1.16,MPV,166,78,23000
2011,TOYOTA,SCION,XB,23,0,1.16,Car,158,78,10000
2009,CHRYSLER,JEEP,LIBERTY,36,31272,1.15,MPV,210,80,8000
2010,TOYOTA,TOYOTA,matrix,31,26950,1.15,Car,132,86,8500
2010,VOLKSWAGEN,VOLKSWAGEN,JETTA GLI,142,123543,1.15,Car,200,82,10000
2011,VOLVO,VOLVO,S 40,5,0,1.15,Car,227,74,12000
2012,HYUNDAI,HYUNDAI,sonata,264,230381,1.15,Car,198,86,10000
2011,SUZUKI,SUZUKI,kizashi,7,0,1.15,Car,180,80,9000
2007,AUDI,AUDI,a3/a3 Quattro,8,6992,1.14,Car,0,0,0
2005,ASTON MARTIN,ASTON MARTIN,DB9,1,874,1.14,Car,450,75,45000
2013,HYUNDAI,HYUNDAI,elantra,469,411249,1.14,Car,148,80,10000
2011,CHRYSLER,JEEP,LIBERTY,65,0,1.14,MPV,210,80,12000
2008,FORD MOTOR CO,LINCOLN,TOWN CAR,14,12300,1.14,Car,224,78,12000
2010,VOLKSWAGEN,VOLKSWAGEN,cc,33,29078,1.13,Car,200,75,8000
2009,GENERAL MOTORS,BUICK,LUCERNE,36,31751,1.13,Car,219,70,6100
2013,CHRYSLER,DODGE,JOURNEY,96,84725,1.13,MPV,283,75,15000
